	type	stat	multiplier	element	target	playerCost	rarity	EN	damage	condition	upgradeable	AI	weight	exhaust	retain	armor	gfx	draw	energy_gain	FR	DE	ES	BR	CN	JP	RU
Thaw	Attack	power	3	Ice	opponent	5	22	Thaw{desc}Deal {dmg} damage. Energy cost reduced by 1 each turn this card is retained.	Ice		1	0	2	0	1	0	iceColumn			Glace fondue{desc}Inflige {dmg} point(s) de dégâts. Son coût est réduit de 1 à chaque tour où elle n'est pas jouée.	Geschmolzenes Eis{desc}Verursache {dmg} Schaden. Kosten werden um 1 je Zug gesenkt, in dem sie behalten wird.	Hielo Derretido{desc}Inflige {dmg} punto(s) de daño. Su coste se reduce en 1 por cada turno que retengas esta carta.	Gelo Derretido{desc}Causa {dmg} de dano. O custo é reduzido em 1 para cada turno em que estiver retida.	融解{desc}造成{dmg}点冰冻伤害。每保留此卡牌一回合，其消耗减少1点。	解凍{desc}{dmg}こおりダメージを与える。このカードを持っていると、1ターンごとにエネルギーコストが1減る。	Талый лед{desc}Наносит {dmg} урона. Стоимость карты снижается на 1 каждый ход, пока она у вас в руке.
Thaw+	Attack	power	4	Ice	opponent	5	23	Thaw+{desc}Deal {dmg} damage. Energy cost reduced by 1 each turn this card is retained.	Ice		0	0	2	0	1	0	iceColumn			Glace fondue+{desc}Inflige {dmg} point(s) de dégâts. Son coût est réduit de 1 à chaque tour où elle n'est pas jouée.	Geschmolzenes Eis+{desc}Verursache {dmg} Schaden. Kosten werden um 1 je Zug gesenkt, in dem sie behalten wird.	Hielo Derretido+{desc}Inflige {dmg} punto(s) de daño. Su coste se reduce en 1 por cada turno que retengas esta carta.	Gelo Derretido+{desc}Causa {dmg} de dano. O custo é reduzido em 1 para cada turno em que estiver retida.	融解+{desc}造成{dmg}点冰冻伤害。每保留此卡牌一回合，其消耗减少1点。	解凍+{desc}{dmg}こおりダメージを与える。このカードを持っていると、1ターンごとにエネルギーコストが1減る。	Талый лед+{desc}Наносит {dmg} урона. Стоимость карты снижается на 1 каждый ход, пока она у вас в руке.
Chill	Skill			Ice	opponents	1	23	Chill{desc}If any enemy is going to use Bash, nullify it.			0	0	2	0	0	0	iceCast			Chiller{desc}Si un ennemi va utiliser Impact, le nullifier.	Frost{desc}Wenn dein Gegner Hieb nutzen will, annuliere es.	Descansar{desc}Si un enemigo usa Aporrear, invalidarlo	Fica frio aío{desc}Se um inimigo for usar Golpear, anule-o.	冷静{desc}当敌人使用猛击时，使其无效。 	悪寒{desc}敵が使用しようとした「なぐる」を無効化する。	Стужа{desc}Если противник планирует применить Таран, аннулирует его атаку.
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										

	type	stat	multiplier	element	target	playerCost	rarity	EN	damage	condition	upgradeable	AI	weight	exhaust	retain	armor	gfx	draw	energy_gain	FR	DE	ES	BR	CN	JP	
																										
																										
Zap	Attack	power	0.5	Electric	opponent	1	1	Zap{desc}Deal {dmg} Electric damage.	Electric		1	1	0.6	0	0	0	electric			Flash{desc}Inflige {dmg} point(s) de dégâts électriques.	Stromschlag{desc}Verursache {dmg} Elektroschaden.	Chispazo{desc}Inflige {dmg} punto(s) de daño eléctrico.	Zap{desc}Causa {dmg} de dano Elétrico.	震击{desc}造成{dmg}点带电伤害。	打撃{desc}{dmg}電気ダメージを与える。	Искра{desc}Наносит {dmg} электрического урона.
Zap+	Attack	power	1	Electric	opponent	1	2	Zap+{desc}Deal {dmg} Electric damage.	Electric		0	1	0.8	0	0	0	electric			Flash+{desc}Inflige {dmg} point(s) de dégâts électriques.	Stromschlag+{desc}Verursache {dmg} Elektroschaden.	Chispazo +{desc}Inflige {dmg} punto(s) de daño eléctrico.	Zap+{desc}Causa {dmg} de dano Elétrico.	震击+{desc}造成 {dmg} 点带电伤害。	打撃+{desc}{dmg}電気ダメージを与える。	Искра+{desc}Наносит {dmg} электрического урона.
Shock	Attack	power	0.5	Electric	opponent	2	1	Shock{desc}Deal {dmg} Electric damage three times.	Electric*3		1	1	0.6	0	0	0	lightningBolt			Décharge{desc}Inflige {dmg} point(s) de dégâts électriques à 3 reprises.	Schock{desc}Verursache dreimal {dmg} Elektroschaden.	Choque{desc}Inflige {dmg} punto(s) de daño eléctrico tres veces.	Choque{desc}Causa {dmg} de dano Elétrico três vezes.	电击{desc}造成 3 次{dmg}点带电伤害。	衝撃{desc}{dmg}電気ダメージを3回与える。	Шок{desc}Наносит {dmg} электрического урона три раза.
Shock+	Attack	power	0.5	Electric	opponent	2	2	Shock+{desc}Deal {dmg} Electric damage four times.	Electric*4		0	1	0.8	0	0	0	lightningBolt			Décharge{desc}Inflige {dmg} point(s) de dégâts électriques à 4 reprises.	Schock{desc}Verursache viermal {dmg} Elektroschaden.	Choque{desc}Inflige {dmg} punto(s) de daño eléctrico cuatro veces.	Choque{desc}Causa {dmg} de dano Elétrico quatro vezes.	电击{desc}造成 4 次{dmg}点带电伤害。	衝撃+{desc}{dmg}電気ダメージを4回与える。	Шок+{desc}Наносит {dmg} электрического урона четыре раза.
Lightning	Attack	power	0.5	Electric	opponents	2	3	Lightning{desc}Deal {dmg} Electric damage two times to all enemies.	Electric*2		1	1	1	0	0	0	lightningStrike		  	Éclair{desc}Inflige {dmg} point(s) de dégâts électriques à 2 reprises à tous les ennemis.	Blitz{desc}Verursache zweimal {dmg} Elektroschaden bei allen Gegnern.	Rayo{desc}Inflige {dmg} punto(s) de daño eléctrico dos veces a todos los enemigos.	Campo Elétrico{desc}Causa {dmg} de dano Elétrico dois vezes.	闪电{desc}对所有敌人造成 2 次{dmg}点带电伤害。	稲妻{desc}敵全体に{dmg}電気ダメージを2回与える。	Молния{desc}Наносит {dmg} электрического урона два раза всем врагам.
Lightning+	Attack	power	0.5	Electric	opponents	2	4	Lightning+{desc}Deal {dmg} Electric damage three times to all enemies.	Electric*3		0	1	1	0	0	0	lightningStrike			Éclair+{desc}Inflige {dmg} point(s) de dégâts électriques à 3 reprises à tous les ennemis.	Blitz+{desc}Verursache dreimal {dmg} Elektroschaden bei allen Gegnern.	Rayo +{desc}Inflige {dmg} punto(s) de daño eléctrico tres veces a todos los enemigos.	Campo Elétrico+{desc}Causa {dmg} de dano Elétrico três vezes a todos os inimigos.	闪电+{desc}对所有敌人造成 3 次 {dmg} 点带电伤害。	稲妻+{desc}敵全体に{dmg}電気ダメージを3回与える。	Молния+{desc}Наносит {dmg} электрического урона три раза всем врагам.
Thunderwave	Attack	power	1	Electric	opponent	1	1	Thunderwave{desc}Deal {dmg} Electric damage and remove 1 Armor.	Electric		1	1	0.6	0	0	1	sparkCircle			Onde électrique{desc}Inflige {dmg} point(s) de dégâts électriques et réduit l'armure de 1.	Donnerhall{desc}Verursache {dmg} Elektroschaden und entferne 1 Rüstung.	Onda Trueno{desc}Inflige {dmg} punto(s) de daño eléctrico y elimina 1 punto de Armadura.	Trovão Cortante{desc}Causa {dmg} de dano Elétrico e remove 1 de Armadura.	电波{desc}造成{dmg}点带电伤害并解除 1 点防御。	電磁波{desc}{dmg}電気ダメージを与え、アーマーを1減らす。	Ударная волна{desc}Наносит {dmg} электрического урона и снимает 1 броню.
Thunderwave+	Attack	power	1	Electric	opponent	1	2	Thunderwave+{desc}Deal {dmg} Electric damage and remove 2 Armor.	Electric		0	1	0.8	0	0	2	sparkCircle			Onde électrique+{desc}Inflige {dmg} point(s) de dégâts électriques et réduit l'armure de 2.	Donnerhall+{desc}Verursache {dmg} Elektroschaden und entferne 2 Rüstung.	Onda Trueno +{desc}Inflige {dmg} punto(s) de daño eléctrico y elimina 2 puntos de Armadura.	Trovão Cortante+{desc}Causa {dmg} de dano Elétrico e remove 2 de Armadura.	电波+{desc}造成 {dmg} 点带电伤害并解除 2 点防御。	電磁波+{desc}{dmg}電気ダメージを与え、アーマーを2減らす。	Ударная волна+{desc}Наносит {dmg} электрического урона и снимает 2 брони.
Charge	Skill			Electric	ally	1	1	Charge{desc}Apply 2 [color=#5343EE]Charge[/color].		Charge:2	1	1	0.5	1	1	0	lightningBlast			Charge{desc}Applique 2 effets [color=#5343EE]Charge[/color].	Ladung{desc}Bewirke 2 [color=#5343EE]Ladung[/color].	Asalto{desc}Provoca 2 [color=#5343EE]Asalto[/color].	Carga{desc}Aplica 2 [color=#5343EE]Carga[/color].	充能{desc}施加 2 [color=#5343EE]充能[/color]。	チャージ{desc}2 [color=#5343EE]チャージ[/color]を付与する。	Заряд{desc}Добавляет 2 [color=#5343EE]Заряда[/color].
Charge+	Skill			Electric	ally	1	2	Charge+{desc}Apply 3 [color=#5343EE]Charge[/color].		Charge:3	0	1	0.5	1	1	0	lightningBlast			Charge+{desc}Applique 3 effets [color=#5343EE]Charge[/color].	Ladung+{desc}Bewirke 3 [color=#5343EE]Ladung[/color].	Asalto +{desc}Provoca 3 [color=#5343EE]Asalto[/color].	Carga+{desc}Aplica 3 [color=#5343EE]Carga[/color].	充能+{desc}施加 3 [color=#5343EE]充能[/color]。	チャージ+{desc}3 [color=#5343EE]チャージ[/color]を付与する。	Заряд+{desc}Добавляет 3 [color=#5343EE]Заряда[/color].
Surge	Skill			Electric	ally	2	3	Surge{desc}Apply 1 [color=#5343EE]Charge[/color]. ^Draw one card.		Charge:1	1	1	0.5	1	0	0	lightningBlast	1		Surtension{desc}Applique 1 effet [color=#5343EE]Charge[/color]. ^Pioche une carte.	Energieanstieg{desc}Bewirke 1 [color=#5343EE]Ladung[/color]. ^Ziehe 1 Karte.	Oleada{desc}Provoca 1 [color=#5343EE]Asalto[/color]. ^Roba una carta.	Emergir{desc}Aplica 1 [color=#5343EE]Carga[/color]. ^Compra uma carta.	电浪{desc}施加 1 [color=#5343EE]充能[/color]。^抽 1 张牌。	サージ{desc}{cnd} [color=#5343EE]チャージ[/color]を付与する。^カードを1枚引く。	Импульс{desc}Добавляет 1 [color=#5343EE]Заряд[/color].^Получите одну карту.
Surge+	Skill			Electric	ally	2	4	Surge+{desc}Apply 2 [color=#5343EE]Charge[/color]. ^Draw two cards.		Charge:2	0	1	0.5	1	0	0	lightningBlast	2		Surtension{desc}Applique 2 effets [color=#5343EE]Charge[/color]. ^Pioche 2 cartes.	Energieanstieg+{desc}Bewirke 2 [color=#5343EE]Ladung[/color]. ^Ziehe 2 Karten.	Oleada +{desc}Provoca 2 [color=#5343EE]Asalto[/color]. ^Roba dos cartas.	Emergir+{desc}Aplica 2 [color=#5343EE]Carga[/color]. ^Compra duas cartas.	电浪+{desc}施加 2 [color=#5343EE]充能[/color]。^抽 2 张牌。	サージ+{desc}{cnd} [color=#5343EE]チャージ[/color]を付与する。^カードを2枚引く。	Импульс+{desc}Добавляет 2 [color=#5343EE]Заряда[/color].^Получите две карты.
Turn It Up	Skill			Electric	ally	1	3	Turn It Up{desc}Double target's [color=#5343EE]Charge[/color]. 			1	1	0.5	1	0	0	sparkCircle			Générateur{desc}Double le nombre d'effets [color=#5343EE]Charge[/color] de la cible.	Aufgedreht{desc}Verdopple die [color=#5343EE]Ladung[/color] des Ziels.	Incremento{desc}Duplica el [color=#5343EE]Asalto[/color] del objetivo.	Solta o Som{desc}Duplica a [color=#5343EE]Carga[/color] do alvo.	升压{desc}使目标的[color=#5343EE]充能[/color]加倍。	強化{desc}ターゲットの[color=#5343EE]チャージ[/color]が2倍になる。	Перегрузка{desc}Удваивает [color=#5343EE]Заряд[/color] противника.
Turn It Up+	Skill			Electric	ally	1	4	Turn It Up+{desc}Triple target's [color=#5343EE]Charge[/color]. 			0	1	0.5	1	0	0	sparkCircle			Générateur{desc}Triple le nombre d'effets [color=#5343EE]Charge[/color] de la cible.	Aufgedreht+{desc}Verdreifache die [color=#5343EE]Ladung[/color] des Ziels.	Incremento +{desc}Triplica el [color=#5343EE]Asalto[/color] del objetivo.	Solta o Som+{desc}Triplica a [color=#5343EE]Carga[/color] do alvo.	升压+{desc}使目标的[color=#5343EE]充能[/color]变为三倍。	強化+{desc}ターゲットの[color=#5343EE]チャージ[/color]が3倍になる。	Перегрузка+{desc}Утраивает [color=#5343EE]Заряд[/color] противника.
Equalize	Skill			Electric	allies	1	3	Equalize{desc}Reduce the Energy cost of all cards in your hand to 1.			1	0	0.5	1	0	0	blueCircle			Égalisation{desc}Réduit le coût en énergie de toutes les cartes de ta main à 1.	Ausgleich{desc}Senke die Energiekosten aller Karten auf der Hand auf 1.	Compensación{desc}Reduce el coste de energía de todas las cartas de tu mano a 1.	Equalizar{desc}Reduz o custo de Energia de todas as cartas da sua mão para 1.	平衡{desc}将手中所有卡牌的能源消耗降低到 1。	イコライズ{desc}手札にあるカードすべてのエネルギーコストを1にする。	Эквалайзер{desc}Снижает стоимость всех карт в вашей руке до 1.
Equalize+	Skill			Electric	allies	0	4	Equalize+{desc}Reduce the Energy cost of all cards in your hand to 1.			0	0	0.5	1	0	0	blueCircle			Égalisation+{desc}Réduit le coût en énergie de toutes les cartes de ta main à 1.	Ausgleich+{desc}Senke die Energiekosten aller Karten auf der Hand auf 1.	Compensación+{desc}Reduce el coste de energía de todas las cartas de tu mano a 1.	Equalizar+{desc}Reduz o custo de Energia de todas as cartas da sua mão para 1.	平衡+{desc}将手中所有卡牌的能源消耗降低到 1。	イコライズ+{desc}手札にあるカードすべてのエネルギーコストを1にする。	Эквалайзер+{desc}Снижает стоимость всех карт в вашей руке до 1.
Static	Skill			Electric	allies	2	3	Static{desc}Apply 2 [color=#5343EE]Charge[/color] to all allies.		Charge:2	1	1	0.5	1	0	0	lightningBlast			Électricité statique{desc}Applique 2 effets [color=#5343EE]Charge[/color] à tous les alliés.	Statik{desc}Bewirke 2 [color=#5343EE]Ladung[/color] bei allen Verbündeten.	Electricidad Estática{desc}Provoca 2 [color=#5343EE]Asalto[/color] a todos los aliados.	Eletrostática{desc}Aplica 2 [color=#5343EE]Carga[/color] a todos os aliados.	静电{desc}对所有盟友施加2 [color=#5343EE]充能[/color]。	静電気{desc}味方全体に{cnd} [color=#5343EE]チャージ[/color]を付与する。	Статика{desc}Добавляет 2 [color=#5343EE]Заряда[/color] всем союзникам.
Static+	Skill			Electric	allies	1	4	Static+{desc}Apply 2 [color=#5343EE]Charge[/color] to all allies.		Charge:2	0	1	0.5	1	0	0	lightningBlast			Électricité statique+{desc}Applique 2 effets [color=#5343EE]Charge[/color] à tous les alliés.	Statik+{desc}Bewirke 2 [color=#5343EE]Ladung[/color] bei allen Verbündeten.	Electricidad Estática +{desc}Provoca 2 [color=#5343EE]Asalto[/color] a todos los aliados.	Eletrostática+{desc}Aplica 2 [color=#5343EE]Carga[/color] a todos os aliados.	静电+{desc}对所有盟友施加 2 [color=#5343EE]充能[/color]。	静電気+{desc}味方全体に{cnd} [color=#5343EE]チャージ[/color]を付与する。	Статика+{desc}Добавляет 2 [color=#5343EE]Заряда[/color] всем союзникам.
Melt	Skill			Electric	opponent	1	2	Melt{desc}Reduce target's Armor by half.			1	1	0.5	1	0	0	thunderDome			Fonte{desc}Réduit l'armure de la cible de moitié.	Schmelzen{desc}Halbiere die Rüstung des Ziels.	Derretir{desc}Reduce la Armadura del objetivo a la mitad.	Derreter{desc}Reduz a Armadura do alvo pela metade.	熔化{desc}使目标的防御降低一半。	メルト{desc}ターゲットのアーマーを半分に減らす。	Плавление{desc}Снижает броню противника наполовину.
Melt+	Skill			Electric	opponent	1	3	Melt+{desc}Reduce target's Armor to 1.			0	1	0.5	1	0	0	thunderDome			Fonte+{desc}Réduit l'armure de la cible à 1.	Schmelzen+{desc}Senke die Rüstung des Ziels auf 1.	Derretir +{desc}Reduce la Armadura del objetivo a 1.	Derreter+{desc}Reduz a Armadura do alvo para 1.	熔化+{desc}使目标的防御降低到 1。	メルト+{desc}ターゲットのアーマーを1に減らす。	Плавление+{desc}Снижает броню противника до 1.
Volt	Attack	power	0.25	Electric	opponent	0	2	Volt{desc}Deal {dmg} Electric damage.	Electric		0	0	1	1	0	0	thunderDome			Volt{desc}Inflige {dmg} point(s) de dégâts électriques.	Volt{desc}Verursache {dmg} Elektroschaden.	Voltio{desc}Inflige {dmg} punto(s) de daño eléctrico.	Volt{desc}Causa {dmg} de dano Elétrico.	伏特{desc}造成{dmg}带电伤害。	ボルト{desc}{dmg}電気ダメージを与える。	Вольт{desc}Наносит {dmg} электрического урона.
Free Energy	Skill			Electric	self	1	2	Free Energy{desc}Transform all the cards in your hand into Volts for the rest of combat.			1	0	0.5	0	0	0	thunderDome			Énergie gratuite{desc}Transforme toutes les cartes de ta main en cartes Volt pour le reste du combat.	Freie Energie{desc}Wandle alle Karten in deiner Hand für den Rest des Kampfs in Volt um.	Energía Gratis{desc}Transforma en Voltios todas las cartas de tu mano para el resto del combate.	Conversão de Energia{desc}Transforma todas as cartas da sua mão em Volt pelo resto do combate.	免费能源{desc}将手中所有卡牌转化为伏特，持续到战斗结束。	フリーエネルギー{desc}ターンの残りの間、手札にあるカードすべてを「ボルト」に変える。	Даровая энергия{desc}Заменяет все карты в вашей руке на карты Вольт до конца боя.
Free Energy+	Skill			Electric	self	0	3	Free Energy+{desc}Transform all the cards in your hand into Volts for the rest of combat.			0	0	0.5	0	0	0	thunderDome			Énergie gratuite+{desc}Transforme toutes les cartes de ta main en cartes Volt pour le reste du combat.	Freie Energie+{desc}Wandle alle Karten in deiner Hand für den Rest des Kampfs in Volt um.	Energía Gratis +{desc}Transforma en Voltios todas las cartas de tu mano para el resto del combate.	Conversão de Energia+{desc}Transforma todas as cartas da sua mão em Volt pelo resto do combate.	免费能源+{desc}将手中所有卡牌转化为伏特，持续到战斗结束。	フリーエネルギー+{desc}ターンの残りの間、手札にあるカードすべてを「ボルト」に変える。	Даровая энергия+{desc}Заменяет все карты в вашей руке на карты Вольт до конца боя.
Lightning Rod	Skill			Electric	allies	1	2	Lightning Rod{desc}Draw all Volt cards from your draw pile into your hand.			1	0	0.5	1	0	0	thunderDome			Paratonnerre{desc}Ajoute toutes les cartes Volt de ta pioche dans ta main.	Blitzstab{desc}Nimm alle Voltkarten von deinem Nachziehstapel auf die Hand.	Pararrayos{desc}Roba todas las cartas Voltio del mazo y añádelas a tu mano.	Para-Raios{desc}Compra todas as cartas Volt da sua pilha de compras para a sua mão.	避雷针{desc}从抽牌堆中抽取所有伏特牌到手中。	避雷針{desc}山札にある「ボルト」をすべて引き、手札に加える。	Громоотвод{desc}Вытягивает все карты Вольт из вашей колоды.
Lightning Rod+	Skill			Electric	allies	1	3	Lightning Rod+{desc}Draw all Volt cards from your draw and discard pile into your hand.			0	0	0.5	1	0	0	thunderDome			Paratonnerre+{desc}Ajoute toutes les cartes Volt de ta pioche et de ta défausse dans ta main.	Blitzstab+{desc}Nimm alle Voltkarten von deinem Nachzieh- und Ablagestapel auf die Hand.	Pararrayos +{desc}Roba todas las cartas Voltio del mazo y de la pila de descartes y añádelas a tu mano.	Para-Raios+{desc}Compra todas as cartas Volt da sua pilha de compras e de descarte para a sua mão.	避雷针+{desc}从抽牌堆与弃牌堆中抽取所有伏特牌到手中。	避雷針+{desc}山札にある「ボルト」をすべて引き、手札に加える。	Громоотвод+{desc}Вытягивает все карты Вольт из вашей колоды и стопки сброса.
Lightning Storm	Attack	power	0.25	Electric	opponents	3	5	Lightning Storm{desc}Deal {dmg} Electric damage ten times to all enemies. 	Electric*10		0	1	1	1	0	0	lightningStrike			Orage{desc}Inflige {dmg} point(s) de dégâts électriques à 10 reprises à tous les ennemis.	Blitzgewitter{desc}Verursache 10-mal {dmg} Elektroschaden bei allen Gegnern.	Tormenta Eléctrica{desc}Inflige {dmg} punto(s) de daño eléctrico diez veces a todos los enemigos.	Tempestade Relâmpago{desc}Causa {dmg} de dano Elétrico dez vezes a todos os inimigos.	闪电风暴{desc}对所有敌人造成 10 次{dmg}点带电伤害。	ライトニングストーム{desc}敵全体に{dmg}電気ダメージを10回与える。	Гроза{desc}Наносит {dmg} электрического урона десять раз всем врагам.
Overload	Attack	power	2	Electric	opponent	3	3	Overload{desc}Deal {dmg} Electric damage. 	Electric		1	1	1	1	1	0	sparkCircle			Surcharge{desc}Inflige {dmg} point(s) de dégâts électriques.	Überladung{desc}Verursache {dmg} Elektroschaden.	Sobrecarga{desc}Inflige {dmg} punto(s) de daño eléctrico.	Sobrecarga{desc}Causa {dmg} de dano Elétrico.	过载{desc}造成{dmg}带电伤害。	オーバーロード{desc}{dmg}電気ダメージを与える。	Пробой{desc}Наносит {dmg} электрического урона.
Overload+	Attack	power	3	Electric	opponent	3	4	Overload+{desc}Deal {dmg} Electric damage. 	Electric		0	1	1	1	1	0	sparkCircle			Surcharge+{desc}Inflige {dmg} point(s) de dégâts électriques.	Überladung+{desc}Verursache {dmg} Elektroschaden.	Sobrecarga +{desc}Inflige {dmg} punto(s) de daño eléctrico.	Sobrecarga+{desc}Causa {dmg} de dano Elétrico.	过载+{desc}造成 {dmg} 点带电伤害。	オーバーロード+{desc}{dmg}電気ダメージを与える。	Пробой+{desc}Наносит {dmg} электрического урона.
Wattage	Attack	power	1	Electric	opponents	3	3	Wattage{desc}Deal {dmg} Electric damage to all enemies. ^Draw two cards.	Electric		1	1	0.8	0	0	0	lightningBolt	2		Court-circuit{desc}Inflige {dmg} point(s) de dégâts électriques à tous les ennemis. ^Pioche 2 cartes.	Leistung{desc}Verursache {dmg} Elektroschaden bei allen Gegnern. ^Ziehe 2 Karten.	Vataje{desc}Inflige {dmg} punto(s) de daño eléctrico a todos los enemigos.^Roba dos cartas.	Potência{desc}Causa {dmg} de dano Elétrico a todos os inimigos ^Compra duas cartas.	瓦特{desc}对所有敌人造成{dmg}点带电伤害^抽 2 张牌。	ワット{desc}敵全体に{dmg}電気ダメージを与える。^カードを2枚引く。	Мегаватт{desc}Наносит {dmg} электрического урона всем врагам.^Получите две карты.
Wattage+	Attack	power	1.5	Electric	opponents	3	4	Wattage+{desc}Deal {dmg} Electric damage to all enemies ^Draw two cards.	Electric		0	1	1	0	0	0	lightningBolt	2		Court-circuit+{desc}Inflige {dmg} point(s) de dégâts électriques à tous les ennemis. ^Pioche 2 cartes.	Leistung+{desc}Verursache {dmg} Elektroschaden bei allen Gegnern. ^Ziehe 2 Karten.	Vataje +{desc}Inflige {dmg} punto(s) de daño eléctrico a todos los enemigos.^Roba dos cartas.	Potência+{desc}Causa {dmg} de dano Elétrico a todos os inimigos. ^Compra duas cartas.	瓦特+{desc}对所有敌人造成 {dmg} 点带电伤害。^抽 2 张牌。	ワット+{desc}敵全体に{dmg}電気ダメージを与える。^カードを2枚引く。	Мегаватт+{desc}Наносит {dmg} электрического урона всем врагам ^Получите две карты.
Flip Switch	Attack	power	1	Electric	opponent	2	2	Flip Switch{desc}Deal {dmg} Electric damage three times.	Electric*3		1	1	0.5	1	0	0	sparkCircle			Foudroiement{desc}Inflige {dmg} point(s) de dégâts électriques à 3 reprises.	Kippschalter{desc}Verursache dreimal {dmg} Elektroschaden.	Interruptor{desc}Inflige {dmg} punto(s) de daño eléctrico tres veces.	Interruptor{desc}Causa {dmg} de dano Elétrico três vezes.	反复开关{desc}造成 3 次{dmg}带电伤害。	スイッチオン{desc}{dmg}電気ダメージを3回与える。	Переключатель{desc}Наносит {dmg} электрического урона три раза.
Flip Switch+	Attack	power	1	Electric	opponent	2	3	Flip Switch+{desc}Deal {dmg} Electric damage three times.	Electric*3		0	1	0.5	1	1	0	sparkCircle			Foudroiement+{desc}Inflige {dmg} point(s) de dégâts électriques à 3 reprises.	Kippschalter+{desc}Verursache dreimal {dmg} Elektroschaden.	Interruptor +{desc}Inflige {dmg} punto(s) de daño eléctrico tres veces.	Interruptor+{desc}Causa {dmg} de dano Elétrico três vezes.	反复开关+{desc}造成 3 次 {dmg} 点带电伤害。	スイッチオン+{desc}{dmg}電気ダメージを3回与える。	Переключатель+{desc}Наносит {dmg} электрического урона три раза.
																										
								// Shop-only cards																		
Conduit	Skill			Electric	anyone	1	22	Conduit{desc}Distribute the [color=#5343EE]Charge[/color] of an enemy or an ally equally among your Spirits.			0	0	2	0	0	0	sparkCircle			Transmission{desc}Répartit les effets [color=#5343EE]Charge[/color] d'un ennemi ou d'un allié de façon équitable entre tous tes esprits.	Leitung{desc}Verteile die [color=#5343EE]Ladung[/color] eines Gegners oder Verbündeten gleichmäßig unter deinen Geistern.	Conducto{desc}Distribuye el efecto de [color=#5343EE]Asalto[/color] que sufre un enemigo o aliado de manera uniforme entre tus espíritus.	Conduíte{desc}Distribui a [color=#5343EE]Carga[/color] de um inimigo ou de um aliado igualmente entre seus Espíritos.	能量周转{desc}将一个敌方或友方单位的[color=#5343EE]充能[/color]均匀分配给你的所有精灵。	コンジット{desc}敵もしくは味方1体の[color=#5343EE]チャージ[/color]が、プレイヤーのパーティー間で均等に分配される。	Коммутатор{desc}Равномерно распределяет [color=#5343EE]Заряд[/color] врага или союзника между вашими Духами.
Lightning Spike	Attack	power	1	Electric	opponent	1	23	Lightning Spike{desc}Deal {dmg} damage. Charge affects this card 2x.	Electric		1	0	2	0	0	0	lightningBolt			Coup de tonnerre{desc}Inflige {dmg} point(s) de dégâts. Les effets Charge comptent double pour cette carte.	Blitzstachel{desc}Verursache {dmg} Schaden. Ladung betrifft diese Karte 2x.	Relámpago{desc}Inflige {dmg} punto(s) de daño. El efecto Asalto se duplica en esta carta.	Para-Raios{desc}Causa {dmg} de dano. A Carga afeta esta carta 2 vezes.	闪电尖刺{desc}造成{dmg}点带电伤害。受到充能影响时，造成 2 倍伤害。	ライトニングスパイク{desc}{dmg}でんきダメージを与える。チャージがあると、威力が2倍になる。	Скачок напряжения{desc}Наносит {dmg} урона. Заряд усиливает эту карту в 2 раза.
Lightning Spike+	Attack	power	1	Electric	opponent	1	24	Lightning Spike+{desc}Deal {dmg} damage. Charge affects this card 3x.	Electric		0	0	2	0	0	0	lightningBolt			Coup de tonnerre+{desc}Inflige {dmg} point(s) de dégâts. Les effets Charge comptent triple pour cette carte.	Blitzstachel+{desc}Verursache {dmg} Schaden. Ladung betrifft diese Karte 3x.	Relámpago +{desc}Inflige {dmg} punto(s) de daño. El efecto Asalto se triplica en esta carta.	Para-Raios+{desc}Causa {dmg} de dano. A Carga afeta esta carta 3 vezes.	闪电尖刺+{desc}造成{dmg}点带电伤害。受到充能影响时，造成 3 倍伤害。	ライトニングスパイク+{desc}{dmg}でんきダメージを与える。チャージがあると、威力が3倍になる。	Скачок напряжения+{desc}Наносит {dmg} урона. Заряд усиливает эту карту в 3 раза.
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										

	type	stat	multiplier	element	target	playerCost	rarity	EN	damage	condition	upgradeable	AI	weight	exhaust	retain	armor	gfx	draw	energy_gain	FR	DE	ES	BR	CN	JP	
																										
																										
Torch	Attack	power	1	Fire	opponent	1	1	Torch{desc}Deal {dmg} Fire damage.	Fire		1	1	0.8	0	0	0	fire			Torche{desc}Inflige {dmg} point(s) de dégâts de feu.	Fackel{desc}Verursache {dmg} Feuerschaden.	Ignición{desc}Inflige {dmg} punto(s) de daño de fuego.	Tocha{desc}Causa {dmg} de dano de Fogo.	火炬{desc}造成{dmg}点火力伤害。	たいまつ{desc}{dmg}炎ダメージを与える。	Факел{desc}Наносит {dmg} огненного урона.
